c file generated by rmnkGenerator.R with seed  4 the 12/17/2019 19:08:27 
0.3943233  0.1076378  
0.01796296  0.3070531  
0.3449227  0.9060441  
0.0558622  0.7865275  
0.5427135  0.6861739  
0.2295071  0.9911307  
0.5313412  0.3890848  
0.3664708  0.5788669  
0.9756564  0.7910975  
0.5488022  0.4513471  
0.1806533  0.8432054  
0.3528579  0.6976251  
0.6702527  0.409057  
0.06104313  0.4334357  
0.06589993  0.006642404  
0.3500262  0.2738686  
0.3314792  0.512568  
0.9289733  0.8899241  
0.7495977  0.2422089  
0.8747973  0.06627153  
0.6172945  0.4109192  
0.3932409  0.4964348  
0.337463  0.0696555  
0.8162037  0.03231934  
0.2275284  0.1987678  
0.08512661  0.8953963  
0.2168987  0.08842751  
0.9953205  0.626961  
0.9258459  0.5472811  
0.4582921  0.7420299  
0.4191858  0.7522596  
0.7352682  0.9940907  
0.8577475  0.6188741  
0.8209065  0.2534058  
0.5582786  0.5250992  
0.2472501  0.1174831  
0.8300207  0.3370589  
0.5925531  0.2273446  
0.7360108  0.4497364  
0.3394985  0.1541805  
0.2873459  0.002258627  
0.6888455  0.9346655  
0.1765069  0.9253988  
0.799309  0.6933503  
0.2614876  0.2244371  
0.5825831  0.5984117  
0.5736817  0.3756777  
0.4952653  0.5409873  
0.9567099  0.4162062  
0.6216828  0.6066288  
0.7412868  0.3794216  
0.7296105  0.8132318  
0.3869175  0.6510081  
0.3747462  0.01147133  
0.07722889  0.2911763  
0.5506208  0.6294436  
0.2261082  0.2748717  
0.7405341  0.1034664  
0.9335726  0.7773573  
0.6706174  0.7998161  
0.08871407  0.5628603  
0.1303266  0.8523344  
0.2477355  0.2569256  
0.445169  0.1683465  
0.5817517  0.4202913  
0.9748165  0.7560287  
0.3778048  0.1591332  
0.04109006  0.1587431  
0.4542055  0.3581848  
0.007158448  0.8548962  
0.7256756  0.8596968  
0.5277741  0.8921414  
0.2287471  0.8034786  
0.705499  0.2079546  
0.4385883  0.3564981  
0.7562651  0.8681489  
0.9022443  0.5452727  
0.8020241  0.3283257  
0.06515432  0.0741279  
0.1554842  0.3503246  
0.1693506  0.7234523  
0.326976  0.5967917  
0.8414754  0.04042283  
0.2852105  0.5248873  
0.01506679  0.1387323  
0.7773445  0.4571868  
0.008474644  0.6740753  
0.7129852  0.8631035  
0.222722  0.8175213  
0.3129451  0.1592583  
0.7119497  0.2370453  
0.3341744  0.6637068  
0.1489046  0.6674684  
0.1648503  0.5336831  
0.8060967  0.7095587  
0.6931532  0.2953695  
0.2358483  0.5500337  
0.3876219  0.8422835  
0.7205272  0.8581034  
0.3053862  0.3262281  
0.842404  0.8310799  
0.675409  0.8170884  
0.6307707  0.1090996  
0.4033676  0.3857336  
0.8859712  0.04925617  
0.9277689  0.5149209  
0.3541479  0.02054204  
0.4340034  0.5442987  
0.08120679  0.6221771  
0.8462398  0.2614426  
0.386298  0.8245297  
0.02507255  0.3925503  
0.4935369  0.8928522  
0.9923108  0.1444163  
0.9318043  0.9704948  
0.7034841  0.1213849  
0.5334878  0.6623936  
0.4329935  0.0492182  
0.5788425  0.5702087  
0.1060533  0.4427805  
0.3325933  0.990929  
0.5304841  0.8881921  
0.5554708  0.6566312  
0.5953089  0.7381418  
0.7866055  0.1869774  
0.1702122  0.09421995  
0.8535479  0.570691  
0.7860187  0.07725115  
0.008271053  0.06633062  
0.8635089  0.1410982  
0.3699591  0.5563775  
0.9174594  0.6034144  
0.1123173  0.8837447  
0.8428498  0.04581195  
0.7142023  0.5948532  
0.4739731  0.1303948  
0.8372866  0.1976066  
0.9331061  0.3674045  
0.6641113  0.4761929  
0.8463554  0.4388517  
0.7338838  0.1185798  
0.1601152  0.6758983  
0.9353594  0.4058292  
0.5063121  0.7916512  
0.8848646  0.2324951  
0.4115904  0.01410761  
0.2974112  0.8417171  
0.5930439  0.8784714  
0.5311911  0.7792439  
0.5652482  0.9438554  
0.1600294  0.637337  
0.4066659  0.2965538  
0.702172  0.3878686  
0.3793052  0.4789758  
0.4527001  0.5256914  
0.04916081  0.281407  
0.863445  0.4949781  
0.8962795  0.8174441  
0.6795305  0.3047665  
0.9910407  0.5853822  
0.5855687  0.2796811  
0.7151275  0.1118004  
0.1578895  0.5675819  
0.01830451  0.5521465  
0.8570362  0.4053431  
0.6714213  0.2855341  
0.7336998  0.5155711  
0.209268  0.02799444  
0.2648442  0.4900025  
0.5836791  0.7469985  
0.2114761  0.9070653  
0.9449108  0.9992487  
0.1449529  0.03084323  
0.5860915  0.08880822  
0.3402266  0.989379  
0.05083709  0.6008277  
0.5184859  0.80739  
0.4528761  0.6390197  
0.047248  0.1260046  
0.5757606  0.6163397  
0.5547055  0.2432247  
0.5834875  0.8819958  
0.4045281  0.9363953  
0.6655406  0.6630675  
0.4649963  0.9405209  
0.06389716  0.9482871  
0.776483  0.5687181  
0.4710887  0.3672454  
0.9665584  0.1007671  
0.8974283  0.5240895  
